Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Branch_Code,Remarks,Loan_Status
LP001657,Male,YES,0,Not Graduate,No,6033,0.0,160.0,360.0,1.0,Urban,BR-DEL,,N
LP001098,Male,,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,BR-DEL,,Y
LP002888,Male,No,0,Graduate,,3182,2917.0,161.0,360.0,1.0,Urban,BR-HYD,walk-in applicant,Y
LP200177,Male,Yes,0,Graduate,No,6321,0.0,128.0,360.0,,Semiurban,BR-DEL,,Y
LP001256,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,BR-BLR,walk-in applicant,N
LP001095,Male,No,0,Graduate,No,3167,0.0,,360.0,1.0,Urban,BR-CHN,pending review,N
LP002984,Male,Yes,2,  Graduate ,No,7583,0.0,187.0,360.0,1.0,Urban,BR-MUM,,Y
LP002239,Male,no,0,Not Graduate,No,2346,1600.0,132.0,360.0,1.0,Semiurban,BR-MUM,,Y
LP001552,Male,Yes,0,graduate,No,4583,5625.0,255.0,360.0,1.0,Semiurban,BR-CHN,,Y
LP002377,Female,No,1,Graduate,Yes,8624,0.0,150.0,360.0,1.0,Semiurban,BR-DEL,walk-in applicant,Y
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,BR-HYD,walk-in applicant,Y
LP001922,Male,Yes,0,Graduate,No,20667,0.0,,360.0,1.0,Rural,BR-MUM,referred by agent,N
LP002126,Male,Yes,3+,Not Graduate,No,3173,0.0,74.0,360.0,1.0,SEMIURBAN,BR-KOL,,Y
LP002731,Female,NO,0,Not Graduate,Yes,18165,0.0,125.0,360.0,1.0,Urban,BR-KOL,,Y
LP002130,Male,yes,,Not Graduate,No,3523,3230.0,152.0,360.0,0.0,Rural,BR-CHN,,N
LP001333,Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,,Semiurban,BR-CHN,,Y
LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,BR-KOL,,Y
LP002140,Male,No,0,Graduate,No,8750,4167.0,308.0,360.0,1.0,Rural,BR-MUM,,N
LP002717,Male,Yes,0,Graduate,No,1025,5500.0,216.0,360.0,,Rural,BR-CHN,follow-up needed,Y
LP002116,Female,No,0,Graduate,No,2378,0.0,46.0,360.0,1.0,Rural,BR-CHN,,N
LP002370,Male,No,0,not graduate,No,2717,0.0,60.0,180.0,1.0,Urban,BR-KOL,,Y
LP002114,  Female ,No,0,Graduate,No,4160,0.0,71.0,360.0,1.0,Semiurban,BR-BLR,,Y
LP200023,Male,Yes,0,Graduate,No,7890,0.0,166.0,360.0,1.0,Semiurban,BR-MUM,walk-in applicant,N
LP001807,Male,Yes,2,Graduate,,6250,1300.0,108.0,360.0,1.0,  Rural ,BR-CHN,,Y
LP200135,Male,No,0,Graduate,  No ,3254,2842.0,117.0,372.0,1.0,Urban,BR-MUM,,Y
LP002149,Male,Yes,,Graduate,No,8333,3167.0,165.0,360.0,1.0,Rural,BR-MUM,,Y
LP002705,Male,Yes,0,Graduate,No,3775,0.0,110.0,360.0,1.0,Semiurban,,pending review,Y
LP001910,Male,No,1,NOT GRADUATE,Yes,4053,2426.0,158.0,360.0,0.0,Urban,BR-HYD,,N
